Orden,Tipo,N_tipo,Bloque,Movimiento,Prompt_Final,Prompt_Negativo,Narracion
222,IMG,134,N45,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. la inmensidad del cráter dormido del Vesubio. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y el Vesubio, el verdugo, sigue ahí. No está muerto: solo duerme… a sus pies viven millones en Nápoles… una advertencia viva"
223,IMG,135,N45,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. contraste de las ruinas de Pompeya con el volcán vigilante detrás. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y el Vesubio, el verdugo, sigue ahí. No está muerto: solo duerme… a sus pies viven millones en Nápoles… una advertencia viva"
224,CLIP,89,N45,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. vuelo de dron sobre el cráter dormido del Vesubio, gigante latente. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y el Vesubio, el verdugo, sigue ahí. No está muerto: solo duerme… a sus pies viven millones en Nápoles… una advertencia viva"
225,CLIP,90,N45,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. plano de las ruinas de Pompeya con el volcán imponente al fondo, amenaza presente. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y el Vesubio, el verdugo, sigue ahí. No está muerto: solo duerme… a sus pies viven millones en Nápoles… una advertencia viva"
226,IMG,136,N46,zoom-in progresivo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. mapa del mundo haciendo zoom hacia Europa → Italia. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y quizá te estés preguntando dónde queda exactamente todo esto. Pompeya está en el sur de Italia, en Campania, cerca de Nápoles… el Vesubio a apenas 10 km… hoy abierta al público"
227,IMG,137,N46,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. mapa de Italia señalando el sur, la región de Campania y Nápoles. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y quizá te estés preguntando dónde queda exactamente todo esto. Pompeya está en el sur de Italia, en Campania, cerca de Nápoles… el Vesubio a apenas 10 km… hoy abierta al público"
228,IMG,138,N46,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. mapa cercano de la bahía de Nápoles con Pompeya, Herculano y el Vesubio marcados. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y quizá te estés preguntando dónde queda exactamente todo esto. Pompeya está en el sur de Italia, en Campania, cerca de Nápoles… el Vesubio a apenas 10 km… hoy abierta al público"
229,CLIP,91,N46,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. animación de mapa tipo ""Google Earth"" descendiendo desde el espacio hasta Pompeya, marcando el Vesubio a 10 km. (zoom cinematográfico) Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y quizá te estés preguntando dónde queda exactamente todo esto. Pompeya está en el sur de Italia, en Campania, cerca de Nápoles… el Vesubio a apenas 10 km… hoy abierta al público"
230,CLIP,92,N46,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. vista aérea real-estilo de las ruinas de Pompeya hoy con el Vesubio al fondo y turistas diminutos caminando. (travelling aéreo) Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.","Y quizá te estés preguntando dónde queda exactamente todo esto. Pompeya está en el sur de Italia, en Campania, cerca de Nápoles… el Vesubio a apenas 10 km… hoy abierta al público"
231,IMG,139,N47,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. ruinas de Pompeya al atardecer con el Vesubio detrás. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Pompeya no es solo una ciudad muerta… es la prueba de que ningún amanecer está garantizado… el tiempo también se entierra
232,IMG,140,N47,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. una columna rota en primer plano, la ciudad muerta alrededor. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Pompeya no es solo una ciudad muerta… es la prueba de que ningún amanecer está garantizado… el tiempo también se entierra
233,IMG,141,N47,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. detalle de un fresco superviviente, color desvaído por el tiempo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Pompeya no es solo una ciudad muerta… es la prueba de que ningún amanecer está garantizado… el tiempo también se entierra
234,CLIP,93,N47,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. vuelo de dron ascendente sobre las ruinas con el Vesubio al fondo, reflexivo y épico. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Pompeya no es solo una ciudad muerta… es la prueba de que ningún amanecer está garantizado… el tiempo también se entierra
235,CLIP,94,N47,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. travelling lento por una calle vacía de Pompeya al atardecer, melancolía. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Pompeya no es solo una ciudad muerta… es la prueba de que ningún amanecer está garantizado… el tiempo también se entierra
236,IMG,142,N48,paneo,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. montaje simbólico de los moldes junto a la ciudad viva reconstruida (pasado/presente). Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Quizá esa sea la lección más profunda… mirar las señales y decidir que no son nada… los pompeyanos eran exactamente como nosotros
237,IMG,143,N48,zoom-in,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. las señales ignoradas (cuenco temblando, pozo seco) en montaje. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Quizá esa sea la lección más profunda… mirar las señales y decidir que no son nada… los pompeyanos eran exactamente como nosotros
238,IMG,144,N48,"zoom-in, sobrio","Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. rostro sereno de un molde, espejo de la humanidad. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Quizá esa sea la lección más profunda… mirar las señales y decidir que no son nada… los pompeyanos eran exactamente como nosotros
239,CLIP,95,N48,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. disolvencias entre la ciudad viva y las ruinas, el contraste de lo perdido. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Quizá esa sea la lección más profunda… mirar las señales y decidir que no son nada… los pompeyanos eran exactamente como nosotros
240,CLIP,96,N48,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. push-in reflexivo a un molde, invitando a la introspección del espectador. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Quizá esa sea la lección más profunda… mirar las señales y decidir que no son nada… los pompeyanos eran exactamente como nosotros
241,IMG,145,N49,zoom-in suave,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. (Elara, imagen base) Elara entre las ruinas al atardecer, mirada reflexiva. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Si esta historia te removió… ¿habrías huido al primer temblor o te habrías quedado?… Suscríbete a Elara Historiadora… (CTA)
242,IMG,146,N49,"fijo, leve zoom","Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. texto en pantalla ""¿Habrías huido… o te habrías quedado?"" sobre las ruinas. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Si esta historia te removió… ¿habrías huido al primer temblor o te habrías quedado?… Suscríbete a Elara Historiadora… (CTA)
243,IMG,147,N49,zoom-out,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. nombre del canal ""ELARA HISTORIADORA"" con el Vesubio al fondo. Imagen fija para efecto Ken Burns. Fotorrealismo histórico, cinematográfico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Si esta historia te removió… ¿habrías huido al primer temblor o te habrías quedado?… Suscríbete a Elara Historiadora… (CTA)
244,CLIP-ELARA,97,N49,video 8s,"ELARA (usar imagen base de Elara, ver guia-imagenes-base.md). Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. usar imagen base de Elara entre las ruinas de Pompeya al atardecer, mirada reflexiva; mira a cámara y pronuncia el CTA (""¿habrías huido… o te habrías quedado? Suscríbete a Elara Historiadora""). Push-in suave, ruinas y Vesubio detrás, emotivo. (Sincronizar voz en off en edición.) Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Si esta historia te removió… ¿habrías huido al primer temblor o te habrías quedado?… Suscríbete a Elara Historiadora… (CTA)
245,CLIP,98,N49,video 8s,"Pompeya romana, año 79 d.C., Imperio Romano, arquitectura romana auténtica (mármol, frescos pompeyanos, columnas), togas y túnicas de época. vuelo de dron final alejándose de Pompeya hacia el horizonte, promesa del próximo viaje. Clip de video de 8 s, movimiento de cámara cinematográfico y continuidad realista. Fotorrealismo histórico, 8K, iluminación volumétrica, gran detalle.","sin elementos modernos, sin ropa occidental contemporánea, sin edificios modernos, sin texto en inglés, sin logotipos, sin marcas de agua, sin anacronismos, sin coches, sin rostros ni manos deformes, sin gore explícito.",Si esta historia te removió… ¿habrías huido al primer temblor o te habrías quedado?… Suscríbete a Elara Historiadora… (CTA)
